timestamp,act379,act13,act279,act323,act363,act302,latitude,longitude
28/02/2018 21:00,1,0,0,0,0,0,22.73726,75.875987
28/02/2018 21:15,1,0,0,0,0,0,22.720992,75.876083
28/02/2018 10:15,0,0,1,0,0,0,22.736676,75.883168
28/02/2018 10:15,0,0,1,0,0,0,22.746527,75.887139
28/02/2018 10:30,0,0,1,0,0,0,22.769531,75.888772
28/02/2018 14:15,0,0,0,1,0,0,22.735218,75.913366
28/02/2018 08:00,0,0,0,0,1,0,22.736766,75.908579
28/02/2018 03:30,0,0,0,1,0,0,22.736766,75.908579
28/02/2018 01:30,1,0,0,0,0,0,22.722247,75.915294
28/02/2018 19:00,0,0,0,1,0,0,22.722247,75.915294
28/02/2018 14:10,0,0,0,1,0,0,22.741662,75.869137
28/02/2018 14:25,0,0,0,1,0,0,22.741662,75.869137
28/02/2018 22:00,0,1,0,0,0,0,22.746877,75.883168
28/02/2018 22:00,0,0,0,1,0,0,22.744534,75.931421
28/02/2018 22:10,0,0,0,1,0,0,22.765772,75.870461
28/02/2018 12:00,1,0,0,0,0,0,22.767806,75.875984
28/02/2018 13:30,0,0,0,0,1,0,22.71521,75.870047
28/02/2018 03:00,0,0,0,1,0,0,22.698342,75.910757
28/02/2018 23:50,0,0,0,1,0,0,22.694114,75.904223
28/02/2018 19:00,1,0,0,0,0,0,22.711535,75.860105
28/02/2018 11:55,0,0,1,0,0,0,22.715121,75.856601
28/02/2018 11:00,0,0,0,1,0,0,22.719961,75.843657
28/02/2018 18:00,0,0,1,0,0,0,22.719961,75.843657
28/02/2018 01:00,0,0,0,1,0,0,22.727249,75.853214
28/02/2018 00:00,1,0,0,0,0,0,22.72692,75.85158
28/02/2018 22:10,0,0,1,0,0,0,22.72692,75.85158
28/02/2018 22:30,0,1,0,0,0,0,22.72692,75.85158
28/02/2018 08:40,0,0,1,0,0,0,22.723873,75.828416
28/02/2018 15:40,0,0,0,1,0,0,22.723873,75.828416
28/02/2018 15:50,0,0,0,1,0,0,22.723873,75.828416
28/02/2018 00:00,1,0,0,0,0,0,22.723873,75.828416
28/02/2018 15:00,0,0,0,1,0,0,22.670918,75.827524
28/02/2018 15:30,0,0,0,1,0,0,22.670918,75.827524
28/02/2018 19:05,0,0,0,1,0,0,22.670918,75.827524
28/02/2018 19:25,0,0,0,1,0,0,22.670918,75.827524
28/02/2018 19:50,0,0,0,1,0,0,22.670918,75.827524
28/02/2018 19:20,0,0,0,1,0,0,22.670918,75.827524
28/02/2018 13:00,0,0,0,1,0,0,22.74359,75.793494
28/02/2018 16:00,0,0,0,1,0,0,22.74359,75.793494
28/02/2018 21:45,0,0,0,1,0,0,22.709422,75.84624
28/02/2018 23:00,0,0,0,1,0,0,22.709422,75.84624
28/02/2018 19:30,0,0,1,0,0,0,22.683833,75.829296
28/02/2018 17:00,0,1,0,0,0,0,22.683833,75.829296
28/02/2018 19:45,0,1,0,0,0,0,22.683833,75.829296
28/02/2018 19:00,0,0,0,1,0,0,22.708925,75.853507
28/02/2018 20:00,0,0,0,1,0,0,22.708925,75.853507
28/02/2018 17:00,0,0,1,0,0,0,22.705097,75.888405
28/02/2018 20:30,0,0,0,1,0,0,22.692111,75.867548
28/02/2018 15:50,0,1,0,0,0,0,22.693141,75.827293
01/03/2018 12:00,1,0,0,0,0,0,22.66215,75.9035
